seriesX,seriesY,correlation,spread_adf_stat,spread_adf_pValue,spread_stationary,series_coint_stat,series_coint_pValue,series_cointegrated
AAPL,AMZN,0.7005522150577427,-0.8557775787972098,0.8021866076706896,False,-0.8034423635389921,0.9342499197940557,False
AAPL,AVGO,0.6428820733370475,-0.4105128449888918,0.9083286560452395,False,-0.8360491817432527,0.929798855215262,False
AAPL,BRK.B,-0.21227592758602454,-2.2425195907986213,0.1911766474404068,False,-1.3780153744662684,0.8049495607732384,False
AAPL,DJIA_ETF,0.10582164397962641,-1.6594192138926285,0.4521327755431753,False,-1.0870376831329023,0.8850576174973004,False
AAPL,GOOG,0.620361536735542,-0.5489883128533701,0.882097099525446,False,-0.7208724989954962,0.944338731690514,False
AAPL,GOOGL,0.6202271784677391,-0.5357306585831761,0.884853296440024,False,-0.7201944662577677,0.9444149614953564,False
AAPL,META,0.6743434493609568,-2.131510534098647,0.23203423353502317,False,-1.6568946842841639,0.69628954411044,False
AAPL,MSFT,0.7260327784277054,-2.6430696500540094,0.08441828715240712,False,-2.0261648497663747,0.5149530787258285,False
AAPL,NVDA,-0.34297151614117327,-3.3745075676955447,0.011859219076883332,True,-1.8585986745707301,0.6008473981783118,False
AAPL,SPY_ETF,0.4953189450514284,-1.817233758304759,0.3719397984353422,False,-0.8351049526702327,0.9299316798099235,False
AAPL,TSLA,0.7032638951012163,-0.9283522417005631,0.7784923070327003,False,-1.0423693726322554,0.8945123047229231,False
AAPL,DAXEX_ETF,0.7137895993704173,0.31032809234156467,0.9778134025319513,False,-0.31343425863771757,0.9752549034671076,False
AAPL,CAC40_ETF,-0.5102663746711603,-2.726503087798059,0.06956328526766453,False,-2.0141074325982773,0.5212373954603099,False
AAPL,EQQQ_ETF,0.7190641284092683,-0.8264251578611322,0.8112363887425469,False,-0.18284695019610886,0.9806189942884761,False
AAPL,FTSE_ETF,0.24860274799617163,-0.9234279394429711,0.7801593955073702,False,-0.7879139818020183,0.9362735977939836,False
AMZN,AAPL,0.7005522150577426,-0.8014771067705265,0.818687793581941,False,-0.8578378348762841,0.9266670318194105,False
AMZN,AVGO,0.6695775362910477,-1.2569233560412088,0.6486424519924139,False,-1.8488099821409212,0.6057249447915465,False
AMZN,BRK.B,-0.18201674069329687,-2.150157329138984,0.22482987409166139,False,-1.3033377878876744,0.8287261913182224,False
AMZN,DJIA_ETF,0.2838185552548709,-1.602130389580768,0.4825232196255925,False,-1.1046679775262938,0.8811309505845057,False
AMZN,GOOG,0.8775816689290838,-2.171435961657173,0.21677537625022963,False,-2.2365654913828945,0.40559537143317465,False
AMZN,GOOGL,0.8763667582592085,-2.0947051659718716,0.2466490042541144,False,-2.213677753649479,0.4173217893301408,False
AMZN,META,0.7757097684190115,-3.027781380361956,0.032380165410919565,True,-2.7926670529468,0.16802902076815796,False
AMZN,MSFT,0.6473306390432276,-2.4052843935493735,0.1402504792306538,False,-1.5605657613767212,0.7372433280340633,False
AMZN,NVDA,-0.14854351141217528,-3.153498002011249,0.022839182688275953,True,-1.5591586449536297,0.737815950579787,False
AMZN,SPY_ETF,0.6734679871144413,-2.1578600061265454,0.22189360820570003,False,-1.3836606354132486,0.8030590249485616,False
AMZN,TSLA,0.937527783824589,-2.9980310375220833,0.0350786861782387,True,-3.002823351319593,0.10953591252541223,False
AMZN,DAXEX_ETF,0.8300053051793921,-1.6503092353021995,0.456879154346324,False,-2.4938333696727084,0.28179545021294794,False
AMZN,CAC40_ETF,-0.3075954704743687,-2.1690290001548163,0.2176775043173027,False,-1.5035818076609186,0.7598160405766544,False
AMZN,EQQQ_ETF,0.887836934307958,-2.2548248768203214,0.18695182753700101,False,-2.2583445132798823,0.3945120793668967,False
AMZN,FTSE_ETF,0.33267826565974484,-1.025153874883026,0.7439798168613878,False,-1.9193099505137479,0.5701818983480758,False
AVGO,AAPL,0.6428820733370474,-0.8344258975026575,0.8088000195135312,False,-0.41281862826707705,0.969990179728777,False
AVGO,AMZN,0.6695775362910477,-1.8488185694297896,0.3565078656358518,False,-1.2570837299556596,0.8423126708344895,False
AVGO,BRK.B,-0.5748877077797699,-2.460195272221672,0.125461995566594,False,-1.3164856544698935,0.8247057347694263,False
AVGO,DJIA_ETF,-0.3456229940562879,-1.9272528101268216,0.3193511138998673,False,-0.8907763329387757,0.9216830706743885,False
AVGO,GOOG,0.8551153600796,-2.8578557454381097,0.05047287976210444,False,-2.6300195700422284,0.22575009735211976,False
AVGO,GOOGL,0.8565121859087081,-2.8428787953569263,0.052405057354607945,False,-2.6221693433931224,0.22880974607085858,False
AVGO,META,0.6081633567310293,-2.388608657460398,0.14497737692153673,False,-1.6048309463651815,0.7188465809091212,False
AVGO,MSFT,0.3162560518599217,-2.2091101692025603,0.20295562220301222,False,-0.6249337726443535,0.9541513137174026,False
AVGO,NVDA,-0.34236099768154793,-3.2999311050868823,0.014881554377717328,True,-1.5355040987448412,0.7473275337794618,False
AVGO,SPY_ETF,0.1101787559699501,-2.0517255868609627,0.2643634593609752,False,-0.4376969478271708,0.9684827657821488,False
AVGO,TSLA,0.6928536805148583,-2.100805839941936,0.2441906926983885,False,-1.5007318760789587,0.7609113238945269,False
AVGO,DAXEX_ETF,0.6499041743805964,-1.1342194457380526,0.701234516317162,False,-1.8343568632537008,0.6128886164615478,False
AVGO,CAC40_ETF,-0.3134181251566047,-2.048271591849876,0.2658166768332001,False,-0.5270561543823016,0.9623486994016405,False
AVGO,EQQQ_ETF,0.7221981390603448,-2.349114731181198,0.15661616970677572,False,-1.6061328509655202,0.7182944291892511,False
