,pair,algorithm,base_mse,data_points,features,time_taken,memory_used
0,AMZN TRXUSDT,ridge,0.0003760400809604557,4991,9,0.0014278888702392578,0.0
1,AMZN TRXUSDT,xgb,0.0007059609803857394,4991,9,0.14895129203796387,0.0
2,AMZN TRXUSDT,rnn,0.0017760680667069724,4991,9,18.940794706344604,-155.34765625
3,AMZN TRXUSDT,lstm,0.0019915110870053114,4991,9,29.07288932800293,7.82421875
4,AMZN TRXUSDT,transformer,0.0058743490463757835,4991,9,14.270289897918701,176.4921875
